Ticker,Name,Exchange
BTCUSD,Bitcoin,COINBASE
ETHUSD,Etherium,COINBASE
XRPUSD,XRP,COINBASE
SOLUSD,Solana,COINBASE
ADAUSD,Cardano,COINBASE
TRXUSD,TRON,BINANCE
LTCUSD,Litecoin,COINBASE
POLUSD,Polygon,COINBASE
XMRUSD,Monero,KRAKEN
ATOMUSD,Cosmos,COINBASE
DOGEUSD,Dogecoin,COINBASE
